status,spc_latin,spc_common,health,diameter,count
Alive,Acer,maple,Fair,11.903990746096008,1733
Alive,Acer,maple,Good,11.778864554539656,4708
Alive,Acer,maple,Poor,10.50943396226415,639
Alive,Acer buergerianum,trident maple,Fair,9.75,20
Alive,Acer buergerianum,trident maple,Good,7.724137931034483,87
Alive,Acer buergerianum,trident maple,Poor,7.666666666666667,3
Alive,Acer campestre,hedge maple,Fair,7.462365591397849,372
Alive,Acer campestre,hedge maple,Good,7.111217641418984,2087
Alive,Acer campestre,hedge maple,Poor,6.175824175824176,91
Alive,Acer ginnala,Amur maple,Fair,8.012987012987013,309
Alive,Acer ginnala,Amur maple,Good,7.878048780487805,1640
Alive,Acer ginnala,Amur maple,Poor,7.36,100
Alive,Acer griseum,paperbark maple,Fair,2.75,44
Alive,Acer griseum,paperbark maple,Good,3.6962025316455698,158
Alive,Acer griseum,paperbark maple,Poor,3.7222222222222223,18
Alive,Acer negundo,boxelder,Fair,5.666666666666667,12
Alive,Acer negundo,boxelder,Good,12.195652173913043,46
Alive,Acer negundo,boxelder,Poor,8.0,6
Alive,Acer nigrum,black maple,Fair,10.61111111111111,18
Alive,Acer nigrum,black maple,Good,10.306818181818182,88
Alive,Acer nigrum,black maple,Poor,9.125,8
Alive,Acer palmatum,Japanese maple,Fair,6.361111111111111,182
Alive,Acer palmatum,Japanese maple,Good,6.465011286681715,891
Alive,Acer palmatum,Japanese maple,Poor,5.872727272727273,57
Alive,Acer platanoides,Norway maple,Fair,14.398471615720524,9162
Alive,Acer platanoides,Norway maple,Good,14.41506236761591,21248
Alive,Acer platanoides,Norway maple,Poor,13.709446943635882,3779
Alive,Acer platanoides 'Crimson King',crimson king maple,Fair,10.0,1137
Alive,Acer platanoides 'Crimson King',crimson king maple,Good,10.3592524227042,4336
Alive,Acer platanoides 'Crimson King',crimson king maple,Poor,8.94,450
Alive,Acer pseudoplatanus,sycamore maple,Fair,13.114285714285714,560
Alive,Acer pseudoplatanus,sycamore maple,Good,15.511803114013059,1991
Alive,Acer pseudoplatanus,sycamore maple,Poor,11.672222222222222,180
Alive,Acer rubrum,red maple,Fair,11.039161800068705,2911
Alive,Acer rubrum,red maple,Good,10.660068462568834,13439
Alive,Acer rubrum,red maple,Poor,9.827008928571429,896
Alive,Acer saccharinum,silver maple,Fair,21.363475177304963,2256
Alive,Acer saccharinum,silver maple,Good,21.003594460302356,9462
Alive,Acer saccharinum,silver maple,Poor,19.88372093023256,559
Alive,Acer saccharum,sugar maple,Fair,11.69032258064516,620
Alive,Acer saccharum,sugar maple,Good,11.779788838612369,1990
Alive,Acer saccharum,sugar maple,Poor,10.978632478632479,234
Alive,Acer tataricum,tartar maple,Fair,7.185185185185185,27
Alive,Acer tataricum,tartar maple,Good,5.7894736842105265,114
Alive,Acer tataricum,tartar maple,Poor,5.583333333333333,12
Alive,Acer truncatum,Shantung maple,Fair,4.0,7
Alive,Acer truncatum,Shantung maple,Good,7.808510638297872,47
Alive,Acer truncatum,Shantung maple,Poor,11.4,5
Alive,Aesculus glabra,Ohio buckeye,Fair,7.0,15
Alive,Aesculus glabra,Ohio buckeye,Good,10.0,52
Alive,Aesculus glabra,Ohio buckeye,Poor,10.5,8
Alive,Aesculus hippocastanum,horse chestnut,Fair,14.762790697674419,215
Alive,Aesculus hippocastanum,horse chestnut,Good,14.041984732824428,788
Alive,Aesculus hippocastanum,horse chestnut,Poor,12.365591397849462,93
Alive,Aesculus x carnea,red horse chestnut,Fair,9.571428571428571,14
Alive,Aesculus x carnea,red horse chestnut,Good,6.865979381443299,97
Alive,Aesculus x carnea,red horse chestnut,Poor,12.2,5
Alive,Ailanthus altissima,tree of heaven,Fair,12.577639751552795,161
Alive,Ailanthus altissima,tree of heaven,Good,12.606679035250464,539
Alive,Ailanthus altissima,tree of heaven,Poor,13.464285714285714,56
Alive,Albizia julibrissin,mimosa,Fair,5.0,27
Alive,Albizia julibrissin,mimosa,Good,6.3984375,130
Alive,Albizia julibrissin,mimosa,Poor,7.833333333333333,6
Alive,Alnus glutinosa,European alder,Fair,7.285714285714286,14
Alive,Alnus glutinosa,European alder,Good,5.65625,32
Alive,Alnus glutinosa,European alder,Poor,3.0,1
Alive,Amelanchier,serviceberry,Fair,3.673992673992674,273
Alive,Amelanchier,serviceberry,Good,3.5522755227552274,1626
Alive,Amelanchier,serviceberry,Poor,3.308270676691729,133
Alive,Betula nigra,river birch,Fair,7.246913580246914,81
Alive,Betula nigra,river birch,Good,5.976034858387799,459
Alive,Betula nigra,river birch,Poor,3.4,25
